Year,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Jan,-.15,.14,-.31,-.15,-.59,-.42,-.72,-.37,-.11,-.44,-.41,-.28,-.79,-.53,-.44,-.25,-.14,-.03,-.19,-.37,-.23,-.20,-.26,-.68,-.40,-.28,-.41,-.43,-.68,-.44,-.63,-.26,-.41,.04,-.17,-.08,-.58,-.41,-.19,-.21,-.01,-.33,-.28,-.21,-.36,.20,-.26,.00,-.46,-.30,-.10,.14,-.34,-.24,-.33,-.29,-.13,.01,-.08,-.06,.21,.26,-.04,.35,.10,.15,-.13,.07,.09,-.33,-.35,.13,.08,-.28,.14,-.16,-.11,.39,.08,-.01,.07,.07,-.02,-.08,-.07,-.17,-.06,-.25,-.10,.09,-.02,-.24,.29,-.15,.07,-.01,.19,.06,.12,.30,.55,.10,.51,.30,.22,.28,.36,.57,.15,.40,.41,.44,.37,.27,.51,.25,.32,.60,.48,.24,.42,.75,.73,.59,.72,.56,.95,.22,.61,.73,.48,.45,.66,.73,.81,1.15,.96
Feb,-.17,.15,-.39,-.08,-.30,-.45,-.52,-.35,.19,-.45,-.47,-.11,-.54,-.33,-.41,-.14,-.14,-.29,-.40,-.02,-.03,-.04,-.05,-.59,-.59,-.30,-.51,-.30,-.47,-.44,-.58,-.12,-.43,-.11,.00,-.12,-.61,-.31,-.22,-.21,-.18,-.43,-.36,-.23,-.37,.07,-.17,-.07,-.59,-.27,-.23,-.18,-.34,-.04,.15,-.39,.03,-.02,-.08,.13,.32,.02,.13,.26,-.02,.07,-.08,-.16,-.17,-.28,-.43,.11,.14,-.13,-.18,-.26,-.04,.24,.09,.16,.19,.14,.20,-.13,-.17,.00,-.21,-.15,-.14,.22,-.19,-.16,.31,-.29,.06,-.06,.22,.14,-.10,.42,.41,.15,.40,.17,-.07,.39,.45,.43,.35,.41,.49,.42,.39,.02,.78,.48,.38,.90,.65,.56,.44,.76,.55,.72,.56,.68,.70,.34,.51,.79,.51,.47,.55,.52,.87,1.34,1.12
Mar,.04,.04,-.13,-.37,-.25,-.38,-.33,-.41,.08,-.39,-.19,-.35,-.23,-.25,-.28,-.25,-.13,-.51,-.34,.02,.08,-.29,-.23,-.51,-.22,-.16,-.27,-.53,-.51,-.50,-.60,-.35,-.43,-.22,-.09,-.28,-.60,-.24,-.19,-.07,-.22,-.12,-.34,-.06,-.24,.12,-.36,-.26,-.31,-.08,-.07,-.19,-.30,-.33,-.13,-.22,-.18,.07,-.20,.15,.08,.09,-.08,.26,.06,.00,.07,-.25,-.02,-.07,-.21,-.10,.11,-.15,-.35,-.23,-.06,.11,.18,-.34,.09,.12,-.14,-.23,-.11,.05,.04,.21,.01,.08,-.17,.02,.27,-.06,.13,-.21,.25,.21,.18,.30,.49,-.01,.42,.29,.17,.27,.16,.51,.37,.76,.35,.47,.36,.26,.45,.32,.53,.63,.34,.57,.56,.90,.58,.64,.68,.61,.68,.73,.52,.92,.62,.56,.66,.76,.90,1.31,1.12
Apr,.04,-.19,-.17,-.42,-.42,-.28,-.38,-.22,.08,-.36,-.28,-.34,-.29,-.47,-.24,-.30,-.02,-.33,-.20,-.12,-.03,-.31,-.43,-.54,-.36,-.04,-.38,-.45,-.60,-.40,-.53,-.20,-.39,-.29,.06,-.30,-.50,-.45,-.12,-.25,-.29,-.23,-.39,-.31,-.24,-.12,-.30,-.27,-.39,-.24,-.21,-.06,-.25,-.30,-.36,-.20,-.17,.04,-.10,.18,.17,.10,.07,.19,.18,.06,.07,-.11,-.10,-.20,-.13,.02,.18,-.16,-.22,-.27,-.01,.03,.13,-.14,.12,.04,-.06,-.31,-.19,-.12,-.05,-.05,.18,.09,-.08,.00,.26,-.12,.05,-.08,.27,.15,.13,.33,.31,.09,.31,.08,.11,.24,.22,.45,.33,.55,.52,.23,.27,.40,.47,.36,.36,.63,.32,.57,.51,.56,.53,.62,.67,.49,.73,.51,.58,.85,.62,.68,.53,.77,.74,1.08,.92
May,.02,-.16,-.20,-.36,-.42,-.26,-.32,-.21,-.02,-.45,-.18,-.24,-.35,-.35,-.26,-.18,-.05,-.32,-.23,-.10,-.16,-.36,-.45,-.55,-.33,-.24,-.47,-.41,-.56,-.34,-.51,-.22,-.47,-.23,-.06,-.32,-.55,-.45,-.27,-.26,-.28,-.33,-.34,-.18,-.30,-.21,-.24,-.29,-.38,-.23,-.19,-.19,-.29,-.11,-.30,-.18,-.08,-.10,-.06,.09,.14,.09,.04,.19,.04,-.08,-.04,.01,-.08,-.10,.00,-.02,.09,-.22,-.21,-.31,.09,.06,.04,-.07,.11,-.04,-.04,-.24,-.14,-.11,.15,-.13,.19,-.04,-.05,-.04,.25,-.02,.16,-.24,.30,.06,.05,.36,.24,.15,.36,.33,.17,.24,.25,.43,.16,.46,.37,.32,.27,.28,.26,.27,.36,.69,.31,.36,.57,.64,.61,.38,.63,.46,.66,.47,.64,.73,.51,.74,.58,.85,.75,.91,.89
Jun,-.20,-.26,-.12,-.40,-.44,-.39,-.23,-.18,-.13,-.26,-.20,-.22,-.27,-.44,-.23,-.14,-.16,-.20,-.33,-.12,-.12,-.35,-.46,-.51,-.30,-.21,-.43,-.41,-.52,-.37,-.47,-.26,-.48,-.26,-.20,-.46,-.43,-.35,-.36,-.35,-.27,-.32,-.25,-.22,-.32,-.22,-.25,-.37,-.40,-.20,-.07,-.30,-.33,-.15,-.27,-.21,-.05,-.18,-.08,.08,.11,.04,-.06,.20,-.01,-.21,.02,-.04,-.23,-.03,-.02,-.04,.10,-.17,-.12,-.16,.16,-.08,.02,-.04,.11,.05,.05,-.02,-.09,.01,-.08,-.07,.05,-.02,-.19,.06,.18,-.06,.00,-.16,.24,-.02,.13,.17,.32,.05,.20,.05,.18,.11,.37,.43,.14,.38,.53,.26,.25,.43,.41,.25,.53,.77,.37,.41,.54,.55,.48,.43,.66,.64,.59,.45,.65,.62,.57,.63,.66,.67,.79,.77,.71
Jul,-.06,-.21,-.08,-.34,-.35,-.22,-.23,-.09,-.09,-.26,-.20,-.32,-.15,-.26,-.17,-.03,-.07,-.24,-.17,-.12,-.15,-.29,-.38,-.53,-.29,-.25,-.36,-.39,-.44,-.34,-.41,-.44,-.36,-.24,-.10,-.36,-.25,-.31,-.28,-.30,-.14,-.24,-.29,-.25,-.27,-.23,-.15,-.18,-.32,-.19,-.02,-.24,-.21,-.10,-.23,-.09,-.05,-.10,-.08,.12,.21,.00,.08,.18,.02,-.14,-.08,-.12,-.14,-.10,.03,.04,.00,-.19,-.13,-.12,.01,.05,.06,-.03,.00,.02,.08,-.03,-.12,.09,.01,-.12,-.02,-.02,-.11,.01,.10,-.05,-.01,-.10,.20,.03,.02,.28,.34,.13,.17,.17,-.01,.11,.45,.34,.33,.43,.47,.12,.28,.31,.47,.36,.35,.68,.37,.39,.60,.61,.53,.24,.64,.52,.60,.59,.70,.59,.70,.54,.57,.56,.71,.82,.81
Aug,-.02,-.05,-.15,-.26,-.31,-.33,-.31,-.15,-.19,-.37,-.16,-.24,-.26,-.22,-.15,-.03,-.10,-.25,-.06,-.10,-.20,-.33,-.48,-.50,-.22,-.20,-.35,-.46,-.30,-.35,-.41,-.54,-.33,-.14,-.19,-.25,-.21,-.29,-.31,-.23,-.23,-.30,-.29,-.33,-.15,-.12,-.20,-.21,-.29,-.12,-.03,-.23,-.24,-.11,-.22,-.14,.01,-.06,-.08,.04,.14,-.04,.00,.17,.26,-.17,-.09,-.12,-.11,-.16,.06,.04,.06,-.16,.01,-.26,.15,-.04,-.02,.01,.03,-.01,.27,-.21,-.03,-.08,.01,-.09,.03,-.09,-.03,.17,.03,.11,-.19,-.15,.16,-.18,.14,.23,.32,.07,.33,.16,.14,.12,.28,.47,.37,.30,.39,.07,.13,.21,.46,.48,.41,.66,.31,.42,.48,.53,.65,.44,.61,.70,.57,.43,.66,.63,.71,.61,.66,.80,.79,1.00,.87
Sep,-.13,-.10,-.20,-.27,-.23,-.25,-.22,-.09,-.21,-.39,-.13,-.12,-.20,-.24,-.08,-.03,-.07,-.21,-.02,-.04,-.22,-.29,-.48,-.52,-.18,-.27,-.33,-.35,-.35,-.36,-.37,-.51,-.35,-.13,-.16,-.31,-.17,-.14,-.21,-.18,-.16,-.31,-.27,-.30,-.15,-.12,-.10,-.18,-.22,-.12,-.06,-.11,-.27,-.16,-.21,-.10,.11,.02,-.07,.13,.02,-.05,.06,.29,.22,-.07,-.13,-.11,-.14,-.12,.09,.07,.04,-.10,-.11,-.20,.09,-.02,-.06,.07,.07,.01,.20,-.29,-.16,-.02,-.06,-.18,.09,.11,-.04,.02,.10,-.11,-.03,-.09,.00,.05,.25,.19,.17,.14,.39,.21,.15,.00,.39,.41,.37,.29,.48,.00,.10,.29,.33,.25,.53,.41,.41,.41,.54,.63,.65,.50,.75,.62,.60,.63,.67,.59,.53,.72,.77,.88,.82,.88,.76
Oct,-.21,-.25,-.14,-.24,-.19,-.28,-.32,.02,-.22,-.24,-.21,-.12,-.16,-.20,-.08,.12,-.12,-.33,-.05,.09,-.31,-.31,-.48,-.40,-.25,-.19,-.24,-.44,-.36,-.38,-.23,-.56,-.33,-.04,-.24,-.27,-.40,-.05,-.18,-.26,-.02,-.31,-.11,-.33,-.17,-.09,.00,-.16,-.12,-.08,.02,-.11,-.21,-.08,-.08,-.04,.08,.11,-.03,.07,.33,-.01,.22,.26,.18,-.06,.05,-.07,-.06,-.22,.05,.00,.06,-.04,-.05,-.24,.01,.04,-.09,.07,.00,.00,.15,-.31,-.05,-.15,.09,.11,.13,.06,-.06,.09,.14,-.08,-.09,-.26,.02,.00,.24,.18,.14,.13,.16,.16,.11,.13,.32,.40,.32,.41,.30,.09,.22,.41,.47,.19,.62,.44,.39,.28,.51,.55,.74,.63,.76,.67,.57,.63,.63,.69,.63,.75,.67,.81,1.07,.89,.88
Nov,-.21,-.16,-.22,-.29,-.19,-.31,-.23,.01,-.33,-.47,-.34,-.41,-.16,-.25,-.14,-.07,-.19,-.38,.12,-.09,-.17,-.39,-.45,-.21,-.10,-.38,-.48,-.49,-.30,-.53,-.18,-.38,-.18,-.17,-.12,-.39,-.28,-.10,-.40,-.26,-.12,-.13,.02,-.19,.05,-.04,-.02,-.08,-.11,.17,-.11,-.26,-.29,.03,-.28,-.04,.09,.04,.06,.17,.24,.08,.19,.10,.07,-.06,.02,-.12,-.10,-.38,-.02,-.14,-.06,.06,-.24,-.17,.06,.02,-.09,-.12,.03,.07,.15,-.21,-.06,-.02,-.06,-.03,.13,.02,-.05,.04,.06,-.07,-.16,-.04,.17,.15,.28,.29,.24,.15,.32,.06,.08,.11,.25,.12,.20,.45,.31,.03,.06,.46,.45,.41,.65,.49,.38,.33,.70,.58,.53,.71,.72,.69,.55,.65,.76,.77,.55,.74,.79,.66,1.03,.90,.84
Dec,-.11,-.24,-.16,-.28,-.05,-.26,-.33,-.06,-.29,-.31,-.04,-.39,-.34,-.19,-.15,-.03,-.19,-.25,-.28,-.07,-.28,-.46,-.53,-.35,-.18,-.16,-.48,-.49,-.55,-.66,-.22,-.43,-.03,-.08,-.16,-.80,-.67,-.27,-.40,-.43,-.16,-.18,-.02,-.41,.09,-.27,-.32,-.17,-.53,-.06,-.09,-.25,-.46,-.04,-.20,-.03,-.12,-.22,.44,.27,.20,.07,.24,.02,-.09,-.35,-.16,-.23,-.22,-.20,.14,-.01,.02,-.22,-.30,-.08,.16,.00,-.02,.18,-.15,.00,-.01,-.30,-.06,-.05,-.03,-.12,.28,-.12,-.09,.19,-.06,-.09,-.17,.10,.03,.10,.47,.20,.43,.43,.17,-.05,.15,.16,.48,.33,.38,.41,.32,.22,.16,.36,.28,.40,.59,.56,.43,.29,.56,.44,.73,.51,.65,.74,.46,.53,.65,.46,.53,.52,.65,.78,1.11,.82,.88
